product_id,product_title,product_url,price_01_03
13446,"Paese - Powder Browpencil - Pudrowa Kredka do Brwi - Dark Brown - 1,19g",https://cosibella.pl/pl/products/paese-13446,"39,90 zł"
13579,Annabelle Minerals - Kredka do Oczu Jumbo - Fern - 3g,https://cosibella.pl/pl/products/annabelle-minerals-13579,"37,90 zł"
13583,"Annabelle Minerals - Kredka do Oczu - Forest Sky - 1,1g",https://cosibella.pl/pl/products/annabelle-minerals-13583,"37,90 zł"
13639,A'pieu - Juicy-Pang Water Blusher - Róż do Policzków w Płynie - PK03 - 9g,https://cosibella.pl/pl/products/apieu-13639,"36,00 zł"
13672,Missha - M BB Boomer - Perłowa Baza pod Makijaż - 40ml,https://cosibella.pl/pl/products/missha-13672,"65,00 zł"
13973,Rom&nd - Zero Matte Lipstick - Matowa Pomadka do Ust - 02 All The Jazz - 3g,https://cosibella.pl/pl/products/rom-nd-13973,"45,00 zł"
13974,Rom&nd - Zero Matte Lipstick - Matowa Pomadka do Ust - 03 Silhouette - 3g,https://cosibella.pl/pl/products/rom-nd-13974,"45,00 zł"
13977,Rom&nd - Zero Matte Lipstick - Matowa Pomadka do Ust - 12 Something - 3g,https://cosibella.pl/pl/products/rom-nd-13977,"45,00 zł"
13978,Rom&nd - Zero Matte Lipstick - Matowa Pomadka do Ust - 13 Red Carpet - 3g,https://cosibella.pl/pl/products/rom-nd-13978,"45,00 zł"
13986,"Rom&nd - Better Than Palette - Paleta Cieni do Oczu - 01 Pampas Garden - 7,5g",https://cosibella.pl/pl/products/rom-nd-13986,"89,00 zł"
13988,Rom&nd - Better Than Palette - Paleta Cieni do Oczu - 05 Shade & Shadow Garden - 8g,https://cosibella.pl/pl/products/rom-nd-13988,"89,00 zł"
13989,"Rom&nd - Better Than Palette - Paleta Cieni do Oczu - 08 Peach Dahlia Garden - 8,1 g",https://cosibella.pl/pl/products/rom-nd-13989,"89,00 zł"
13990,Rom&nd - Dewyful Water Tint - Wodny Tint do Ust - 01 In Coral - 5g,https://cosibella.pl/pl/products/rom-nd-13990,"49,00 zł"
13992,Rom&nd - Dewyful Water Tint - Wodny Tint do Ust - 05 Taffy - 5g,https://cosibella.pl/pl/products/rom-nd-13992,"49,00 zł"
13993,Rom&nd - Dewyful Water Tint - Wodny Tint do Ust - 07 Cherry Way - 5g,https://cosibella.pl/pl/products/rom-nd-13993,"49,00 zł"
